Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UNIBA2_RS,rDorsAttnB_PostC_1,corrected,0.68864889,0.72864889,0.401104799,0.068311324,290
UNIBA2_RS,rDorsAttnB_PostC_2,standard,0.25800307,0.29800307,1.133389896,0.06440855,290
UNIBA2_RS,rDorsAttnB_PostC_2,corrected,0.07114801,0.11114801,1.811415355,0.068289142,290
UNIBA2_RS,rLimbicA_TempPole_1,standard,0.08389355,0.12389355,-1.734596051,0.064395396,290
UNIBA2_RS,rLimbicA_TempPole_1,corrected,0.28914667,0.32914667,-1.062009114,0.068266834,290
UNIBA2_RS,rLimbicB_OFC_1,standard,0.08027903,0.12027903,-1.755319554,0.064375743,290
UNIBA2_RS,rLimbicB_OFC_1,corrected,0.48415951,0.52415951,-0.700559775,0.068231151,290
UNIBA2_RS,rSalVentAttnA_FrMed_1,standard,0.04670111,0.08670111,-1.997684971,0.064424572,290
UNIBA2_RS,rSalVentAttnA_FrMed_1,corrected,0.13836033,0.17836033,-1.486165902,0.068296547,290
UNIBA2_RS,rSalVentAttnA_Ins_1,standard,0.00071645,0.04071645,-3.420509756,0.064405605,290
UNIBA2_RS,rSalVentAttnA_Ins_1,corrected,0.00586858,0.04586858,-2.776317819,0.068291893,290
UNIBA2_RS,rSalVentAttnA_ParMed_1,standard,0.03166881,0.07166881,-2.15920199,0.064421949,290
UNIBA2_RS,rSalVentAttnA_ParMed_1,corrected,0.0555952,0.0955952,-1.922199699,0.068255135,290
UNIBA2_RS,rSalVentAttnA_ParOper_1,standard,0.01511632,0.05511632,-2.444376672,0.064392694,290
UNIBA2_RS,rSalVentAttnA_ParOper_1,corrected,0.06470329,0.10470329,-1.854609079,0.068262364,290
UNIBA2_RS,rSalVentAttnB_IPL_1,standard,0.79416337,0.83416337,-0.261152694,0.064330181,290
UNIBA2_RS,rSalVentAttnB_IPL_1,corrected,0.97393947,1.01393947,0.032697052,0.067284353,290
UNIBA2_RS,rSalVentAttnB_PFCl_1,standard,0.01333986,0.05333986,-2.49011952,0.064414579,290
UNIBA2_RS,rSalVentAttnB_PFCl_1,corrected,0.05858244,0.09858244,-1.899074489,0.068296426,290
UNIBA2_RS,rSalVentAttnB_PFCmp_1,standard,0.0145138,0.0545138,-2.459330336,0.064407777,290
