Dataset,ROI,Analysis,p_value,pFDR,T_values,SE,N
UCLA_REST_BD_adj,rDorsAttnA_SPL_1,corrected,0.207271619,0.997912684,1.266394802,0.183950213,165
UCLA_REST_BD_adj,rDorsAttnA_TempOcc_1,standard,0.331924183,0.997912684,-0.973197441,0.178799343,165
UCLA_REST_BD_adj,rDorsAttnA_TempOcc_1,corrected,0.224157378,0.997912684,-1.220424653,0.183949994,165
UCLA_REST_BD_adj,rDorsAttnB_FEF_1,standard,0.370774336,0.997912684,-0.897549539,0.178799095,165
UCLA_REST_BD_adj,rDorsAttnB_FEF_1,corrected,0.329090318,0.997912684,-0.97903089,0.183948974,165
UCLA_REST_BD_adj,rDorsAttnB_PostC_1,standard,0.810385866,0.997912684,-0.240325119,0.178797781,165
UCLA_REST_BD_adj,rDorsAttnB_PostC_1,corrected,0.918858502,0.997912684,-0.102037867,0.183947151,165
UCLA_REST_BD_adj,rDorsAttnB_PostC_2,standard,0.175984898,0.997912684,-1.359234872,0.178800919,165
UCLA_REST_BD_adj,rDorsAttnB_PostC_2,corrected,0.218631163,0.997912684,-1.235183634,0.183950063,165
UCLA_REST_BD_adj,rLimbicA_TempPole_1,standard,0.421301584,0.997912684,-0.806239305,0.178798821,165
UCLA_REST_BD_adj,rLimbicA_TempPole_1,corrected,0.38464657,0.997912684,-0.871835498,0.183948593,165
UCLA_REST_BD_adj,rLimbicB_OFC_1,standard,0.331493401,0.997912684,-0.974067439,0.178799345,165
UCLA_REST_BD_adj,rLimbicB_OFC_1,corrected,0.384209315,0.997912684,-0.87263969,0.183948595,165
UCLA_REST_BD_adj,rSalVentAttnA_FrMed_1,standard,0.07759862,0.997912684,-1.776211438,0.178803197,165
UCLA_REST_BD_adj,rSalVentAttnA_FrMed_1,corrected,0.089588844,0.997912684,-1.708265862,0.183952726,165
UCLA_REST_BD_adj,rSalVentAttnA_Ins_1,standard,0.456460578,0.997912684,-0.746500541,0.178798658,165
UCLA_REST_BD_adj,rSalVentAttnA_Ins_1,corrected,0.374110985,0.997912684,-0.891372473,0.183948659,165
UCLA_REST_BD_adj,rSalVentAttnA_ParMed_1,standard,0.081140254,0.997912684,-1.755192759,0.178803068,165
UCLA_REST_BD_adj,rSalVentAttnA_ParMed_1,corrected,0.034308605,0.997912684,-2.13529143,0.183955845,165
UCLA_REST_BD_adj,rSalVentAttnA_ParOper_1,standard,0.669269078,0.997912684,0.427941627,0.178798,165
UCLA_REST_BD_adj,rSalVentAttnA_ParOper_1,corrected,0.5641087,0.997912684,0.577991376,0.183947772,165
UCLA_REST_BD_adj,rSalVentAttnB_IPL_1,standard,0.275811449,0.997912684,1.093514787,0.178799778,165
UCLA_REST_BD_adj,rSalVentAttnB_IPL_1,corrected,0.418130872,0.997912684,0.811835767,0.183948398,165
UCLA_REST_BD_adj,rSalVentAttnB_PFCl_1,standard,0.632791225,0.997912684,0.47872022,0.178798082,165
UCLA_REST_BD_adj,rSalVentAttnB_PFCl_1,corrected,0.497172097,0.997912684,0.680549203,0.183948021,165
UCLA_REST_BD_adj,rSalVentAttnB_PFCmp_1,standard,0.297527789,0.997912684,-1.045154962,0.178799597,165
UCLA_REST_BD_adj,rSalVentAttnB_PFCmp_1,corrected,0.275957784,0.997912684,-1.093301279,0.183949429,165
UCLA_REST_BD_adj,rSomMotA_1,standard,0.624331426,0.997912684,0.490670996,0.178798102,165
UCLA_REST_BD_adj,rSomMotA_1,corrected,0.575323297,0.997912684,0.561418189,0.183947735,165
UCLA_REST_BD_adj,rSomMotA_2,standard,0.950282661,0.997912684,-0.062449702,0.178797682,165
